IATA_ID,Name,WMO_ID,MSC_ID,Latitude,Longitude,Elevation(m),Data_Provider,Dataset/Network,AUTO/MAN,Province/Territory,Yukon
CCPY,PELLY RANCH FORT SELKIRK,73013,2100881,62.833444,-137.312167,443.276,MSC,CA,AUTO,Yukon,Y
CVBR,BURWASH AIRPORT AUTO,71195,2100184,61.370132,-139.032477,802.5,MSC,CA,AUTO,Yukon,Y
CVXY,WHITEHORSE AUTO,71773,2101310,60.733208,-135.097817,714,MSC,CA,AUTO,Yukon,Y
CWHT,HAINES JUNCTION,71505,2100630,60.772669,-137.580447,600,MSC,CA,AUTO,Yukon,Y
CWJN,HERSCHEL ISLAND,71501,2100636,69.567788,-138.911241,2.4,MSC,CA,AUTO,Yukon,Y
CWKM,KOMAKUK BEACH,71046,2100682,69.61194,-140.1969,13,DND,DND-AWOS,AUTO,Yukon,Y
CWNV,MACMILLAN PASS,71990,2100693,63.24366,-130.037282,1378.927,MSC,CA,AUTO,Yukon,Y
CWOI,IVVAVIK NAT. PARK,71978,2100660,69.1644,-140.15,244.8,MSC,CA,AUTO,Yukon,Y
CWON,DAWSON,71966,2100LRP,64.044442,-139.126937,375.8,MSC,CA,AUTO,Yukon,Y
CWRR,ROCK RIVER,71506,2100935,66.981266,-136.220922,734.501,MSC,CA,AUTO,Yukon,Y
CWUM,FARO (AUT),71949,2100518,62.210538,-133.384957,719,MSC,CA,AUTO,Yukon,Y
CWZR,MARGARET LAKE,71977,2100697,68.8006,-140.8475,569.2,MSC,CA,AUTO,Yukon,Y
CWZW,TESLIN (AUT),71045,2101102,60.174602,-132.733739,716.851,MSC,CA,AUTO,Yukon,Y
CXCK,CARMACKS CS,71039,2100301,62.11499,-136.191823,539.32,MSC,CA,AUTO,Yukon,Y
CXQH,WATSON LAKE (AUT),71199,2101204,60.116086,-128.831433,686.071,MSC,CA,AUTO,Yukon,Y
CYDA,Dawson City,,2100407,64.0421,-139.13,370.3,NAV CANADA,NC-AWOS,AUTO,Yukon,Y
CYDA,Dawson City,,2100401,64.0421,-139.13,370.3,NAV CANADA,NC-HWOS,MAN,Yukon,Y
CYDB,Burwash,71001,2100181,61.3707,-139.04,806.2,NAV CANADA,NC-AWOS,AUTO,Yukon,Y
CYDB,Burwash,71001,2100180,61.3707,-139.04,806.2,NAV CANADA,NC-HWOS,MAN,Yukon,Y
CYMA,Mayo,71965,2100702,63.6164,-135.868,503.8,NAV CANADA,NC-AWOS,AUTO,Yukon,Y
CYMA,Mayo,71965,2100701,63.6164,-135.868,503.8,NAV CANADA,NC-HWOS,MAN,Yukon,Y
CYOC,Old Crow,,2100807,67.5701,-139.84,248.7,NAV CANADA,NC-AWOS,AUTO,Yukon,Y
CYQH,Watson Lake,,2101202,60.1164,-128.822,687.3,NAV CANADA,NC-AWOS,AUTO,Yukon,Y
CYQH,Watson Lake,,2101201,60.1164,-128.822,687.3,NAV CANADA,NC-HWOS,MAN,Yukon,Y
CYXQ,Beaver Creek,,2100155,62.4102,-140.869,649.5,NAV CANADA,NC-AWOS,AUTO,Yukon,Y
CYXQ,Beaver Creek,,2100159,62.4102,-140.869,649.5,NAV CANADA,NC-HWOS,MAN,Yukon,Y
CYXY,Whitehorse Erik Nielson Intl,71964,2101303,60.7096,-135.067,706.2,NAV CANADA,NC-HWOS,MAN,Yukon,Y
CYZW,Teslin,,2101106,60.1731,-132.742,702,NAV CANADA,NC-AWOS,AUTO,Yukon,Y
CYZW,Teslin,,2101101,60.1731,-132.742,702,NAV CANADA,NC-HWOS,MAN,Yukon,Y
CZFA,Faro,,2100527,62.207,-133.373,716.3,NAV CANADA,NC-AWOS,AUTO,Yukon,Y
CZFA,Faro,,2100519,62.207,-133.373,716.3,NAV CANADA,NC-HWOS,MAN,Yukon,Y
CZOC,OLD CROW RCS,71044,2100805,67.567923,-139.844928,250.662,MSC,CA,AUTO,Yukon,Y
