SITE_ID,SITE_NAME,STATE
1267,Alexander Lake,AK
1189,American Creek,AK
1062,Anchor River Divide,AK
1070,Anchorage Hillside,AK
2065,Aniak,AK
957,Atigun Pass,AK
1182,Bettles Field,AK
1260,Chena Lakes,AK
1093,Chisana,AK
958,Coldfoot,AK
959,Cooper Lake,AK
1302,Creamers Field,AK
1303,Dahl Creek,AK
960,Eagle Summit,AK
953,East Palmer,AK
1071,Esther Island,AK
1092,Exit Glacier,AK
1268,Fielding Lake,AK
1285,Flower Mountain,AK
961,Fort Yukon,AK
641,Frostbite Bottom,AK
429,Galena AK,AK
962,Gobblers Knob,AK
956,Grandview,AK
963,Granite Crk,AK
964,Grouse Creek Divide,AK
2222,Gulkana River,AK
1270,Heen Latinee,AK
1318,Hoonah,AK
2210,Hozatka Lake,AK
968,Imnaviat Creek,AK
1091,Independence Mine,AK
946,Indian Pass,AK
1275,Jack Wade Jct,AK
1036,Johnsons Camp,AK
1072,Kantishna,AK
1175,Kelly Station,AK
966,Kenai Moose Pens,AK
947,Little Chena Ridge,AK
1001,Long Lake,AK
1265,Lower Kachemak Creek,AK
1096,May Creek,AK
785,McGrath,AK
1003,Mcneil Canyon,AK
1191,Mcneil River SGS,AK
1064,Middle Fork Bradley,AK
1094,Monahan Flat,AK
949,Monument Creek,AK
1176,Moore Creek Bridge,AK
1035,Moraine,AK
1103,Mt. Alyeska,AK
1073,Mt. Eyak,AK
948,Mt. Ryan,AK
950,Munson Ridge,AK
2081,Nenana,AK
1037,Nuka Glacier,AK
1315,Old Independence Mine,AK
1301,Paradise Hill,AK
986,Pargon Creek,AK
987,Port Graham,AK
1177,Prudhoe Bay,AK
973,Rocky Point,AK
1183,Sagwon,AK
2044,Spring Creek,AK
1095,Sugarloaf Mtn,AK
955,Summit Creek,AK
967,Susitna Valley High,AK
1266,Telaquana Lake,AK
951,Teuchet Creek,AK
2080,Tok,AK
1089,Tokositna Valley,AK
954,Turnagain Pass,AK
952,Upper Chena,AK
1090,Upper Nome Creek,AK
1055,Upper Tsaina River,AK
